,screenName,tweet,retweet,favorite_count,created,source
0,lopp,"Google Scholar articles published mentioning Bitcoin:
2009: 83
2010: 136
2011: 427
2012: 737
2013: 1,570
2014: 3,79… https://t.co/beZLFLfLsA",296,923,2018-12-20,Twitter
1,APompliano,"The Fed raised rates.

Long Bitcoin, Short the Bankers!",393,1967,2018-12-19,Twitter
2,Bakkt,New today from @Rubinations @WSJ: “The first futures contract that will pay out in cryptocurrency rather than cash… https://t.co/0h7I1MC5Gh,687,1468,2018-12-20,Twitter
3,crypto_sign,RT @nilesh_rohilla: This can b BIG:  Lawmakers look to change SEC's 72-year old securities definition to exclude cryptocurrencies https://t…,2,0,2018-12-21,Twitter
4,loilee1,Le développement du marché en action – Nouvelles sur le recyclage des ressources bitcoin collapse: le Caroline du N… https://t.co/LnWozQoA2Y,0,0,2018-12-21,Twitter
5,forexinfo_NL,Dollar laagst in een maand na Fed - Bitcoin boven $4000 https://t.co/oCuKUAxcpN,0,0,2018-12-21,Twitter
6,realmicroguy,RT @matt_odell: 3/ The reason surviving lower valued forks should trend towards zero is b/c they will constantly be at risk of having a new…,11,0,2018-12-21,Twitter
7,rkpignan,"RT @Crypto_Core: This last push up is pretty weak, volume is divergent. I don't believe this can sustain much longer. 
____________________…",3,0,2018-12-21,Twitter
8,ardianramadan15,"RT @VHANZ_1412: Join now TKT Bounty @TwinkleOfficia6

Sign up $TKT bounty to earn $7000 worth of tokens! 
https://t.co/5HbbRaZM5C
https://t…",131,0,2018-12-21,Twitter
9,Ned4sed,"RT @maxkeiser: $USD looks like it’s topped out, driving a #Bitcoin and Gold rally. Rotation out of stocks into BTC and BTC short-covering a…",14,0,2018-12-21,Twitter
10,judge_anderson,RT @coiner_jp: インターネットを必要としないビットコインのネットワーク、地球上すべての場所で取引が可能に #cryptocurrency #仮想通貨 #bitcoin #ビットコイン #blockchain #ブロックチェーン https://t.co/picw2…,1,0,2018-12-21,Twitter
11,BrowardMiamiPB,Cashy Web Application Boosts Script Contracts in Bitcoin Cash https://t.co/BL6bdsUuRB,0,0,2018-12-21,Twitter
