,channelTitle,Title,viewCount,likeCount,publishAt,source
0,Crypto Zombie,Someone Is Buying TONS of Bitcoin and It’s NOT Who You Think! The ONE Chart No One is Talking About!,49858,1320,2018-12-12T16:40:31.000Z,Youtube
1,sunny decree,This Man calls the Future of Bitcoin since 2011 like an Oracle!,118408,3154,2018-12-11T14:25:23.000Z,Youtube
2,"TechCashHouse - Best Bitcoin, Crypto, Money News",JOHN MCAFEE’S New OPINION Of BITCOIN WILL BLOW YOUR MIND! Does He KNOW Something HUGE Is COMING?,60760,1268,2018-12-14T00:00:02.000Z,Youtube
3,AMTV,"BITCOIN MILLIONAIRE EXPLAINS MARKET CRASH AND NEXT PRICE TARGET $1,300!!",102504,2055,2018-12-07T22:00:03.000Z,Youtube
4,Bitcoin-Fund-Manager,Bitcoin will SKYROCKET in weeks or Q1 2019,136386,2444,2018-12-07T04:11:46.000Z,Youtube
5,Forflies,The Bitcoin Selloff is About to Get Much Worse: Here's Why... - BTC/CRYPTOCURRENCY TRADING ANALYSIS,59223,899,2018-11-25T15:00:06.000Z,Youtube
6,Louis Thomas,Time Traveller's Prediction for Bitcoin Price 2019,40957,607,2018-12-04T21:49:08.000Z,Youtube
7,BitBoy Crypto,I'm DONE Buying Bitcoin,12156,301,2018-12-07T00:10:42.000Z,Youtube
8,CNBC Television,"Bitcoin is at the end of a distress cycle, says BlockTower",40813,388,2018-11-28T23:42:52.000Z,Youtube
9,Fox Business,Bitcoin on the verge of becoming worthless?,23460,189,2018-12-06T16:08:17.000Z,Youtube
10,CNBC Television,"I am still a long-term bitcoin believer, says the Crypto King",54301,461,2018-11-20T23:29:22.000Z,Youtube
11,"TechCashHouse - Best Bitcoin, Crypto, Money News",“Bitcoin Is ABOUT TO RECOVER In WAY NEVER SEEN For THIS REASON” TOM LEE Shares STARTLING New Secret,20268,459,2018-12-01T00:00:06.000Z,Youtube
12,Cointelegraph,Bitcoin Collapse Explained | Cointelegraph,107189,1486,2018-11-22T22:21:02.000Z,Youtube
13,CNBC Television,"Bitcoin won't have bottomed until 3K flat level, says Genesis Trading's Moro",108567,696,2018-11-23T13:26:40.000Z,Youtube
14,CNBC Television,"Tom Lee cuts bitcoin year-end target to $15,000",131250,950,2018-11-20T13:22:58.000Z,Youtube
15,Crypto Zombie,"Why Bitcoin CANNOT Fall Under $3,000!!! 5 Predictions for $BTC 2019 | MASSIVE $XRP & Crypto Updates!",25749,1122,2018-12-13T18:19:54.000Z,Youtube
16,Altcoin Daily,My Bitcoin Prediction 2019! Lighting Network Update!,26684,1414,2018-12-06T05:30:00.000Z,Youtube
17,The Crypto Sphere,"""Don't Buy Bitcoin - It's Going To Crash!""",8755,215,2018-12-13T06:34:25.000Z,Youtube
18,Mr_Kristof,Bitcoin miners shutting down world wide! Bitmain in trouble.,338395,3598,2018-12-05T21:24:47.000Z,Youtube
19,Crypto Kirby Trading,🚨 Next Bitcoin (BTC) CRASH Begins NOW?! - Crypto Market Trading Analysis & Cryptocurrency News,21809,1148,2018-12-14T02:40:31.000Z,Youtube
